| k |      a     |     b      |    x_k     |    f(x)   |    e_k   |
====================================================================
|000| 1.000000000| 2.000000000| 1.500000000|-2.03125000| 0.08578644|
|001| 1.000000000| 1.500000000| 1.250000000| 3.64355469| 0.16421356|
|002| 1.250000000| 1.500000000| 1.375000000| 0.90896606| 0.03921356|
|003| 1.375000000| 1.500000000| 1.437500000|-0.54725170| 0.02328644|
|004| 1.375000000| 1.437500000| 1.406250000| 0.18600532| 0.00796356|
|005| 1.406250000| 1.437500000| 1.421875000|-0.17953271| 0.00766144|
|006| 1.406250000| 1.421875000| 1.414062500| 0.00353429| 0.00015106|
|007| 1.414062500| 1.421875000| 1.417968750|-0.08792783| 0.00375519|
|008| 1.414062500| 1.417968750| 1.416015620|-0.04217853| 0.00180206|
|009| 1.414062500| 1.416015620| 1.415039060|-0.01931751| 0.00082550|
|010| 1.414062500| 1.415039060| 1.414550780|-0.00789045| 0.00033722|
|011| 1.414062500| 1.414550780| 1.414306640|-0.00217779| 0.00009308|
|012| 1.414062500| 1.414306640| 1.414184570| 0.00067832| 0.00002899|
|013| 1.414184570| 1.414306640| 1.414245610|-0.00074972| 0.00003204|
|014| 1.414184570| 1.414245610| 1.414215090|-0.00003569| 0.00000153|
|015| 1.414184570| 1.414215090| 1.414199830| 0.00032132| 0.00001373|
|016| 1.414199830| 1.414215090| 1.414207460| 0.00014281| 0.00000610|
|017| 1.414207460| 1.414215090| 1.414211270| 0.00005356| 0.00000229|
|018| 1.414211270| 1.414215090| 1.414213180| 0.00000893| 0.00000038|
|019| 1.414213180| 1.414215090| 1.414214130|-0.00001338| 0.00000057|
|020| 1.414213180| 1.414214130| 1.414213660|-0.00000222| 0.00000010|
